"Kwai Hing",23,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Tai Wo Hau",24,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Tsuen Wan",25,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Sheung Wan",26,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"Wan Chai",27,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Causeway Bay",28,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Tin Hau",29,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Fortress Hill",30,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"North Point",31,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"Quarry Bay",32,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"Tai Koo",33,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"Sai Wan Ho",34,"Exhibition Centre",94,9.20,4.40,2.00,10.50,4.40,2.00,2.00,4.50,4.50
"Shau Kei Wan",35,"Exhibition Centre",94,9.20,4.40,2.00,10.50,4.40,2.00,2.00,4.50,4.50
"Heng Fa Chuen",36,"Exhibition Centre",94,9.20,4.40,2.00,10.50,4.40,2.00,2.00,4.50,4.50
"Chai Wan",37,"Exhibition Centre",94,9.20,4.40,2.00,10.50,4.40,2.00,2.00,4.50,4.50
"Lam Tin",38,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Hong Kong",39,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Kowloon",40,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Olympic",41,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Tsing Yi",42,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Tung Chung",43,"Exhibition Centre",94,24.30,12.50,2.00,28.00,12.50,2.00,2.00,15.00,15.00
"Yau Tong",48,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Tiu Keng Leng",49,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Tseung Kwan O",50,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Hang Hau",51,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Po Lam",52,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Nam Cheong",53,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Sunny Bay",54,"Exhibition Centre",94,22.20,11.10,2.00,25.50,11.10,2.00,2.00,13.50,13.50
"Disneyland Resort",55,"Exhibition Centre",94,27.90,14.20,2.00,31.00,14.20,2.00,2.00,16.50,16.50
"LOHAS Park",57,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Hung Hom",64,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Mong Kok East",65,"Exhibition Centre",94,12.90,6.40,2.00,15.50,6.40,2.00,2.00,6.50,6.50
"Tai Wai",67,"Exhibition Centre",94,17.10,8.60,2.00,19.00,8.60,2.00,2.00,9.50,9.50
"Sha Tin",68,"Exhibition Centre",94,17.10,8.60,2.00,19.00,8.60,2.00,2.00,9.50,9.50
"Fo Tan",69,"Exhibition Centre",94,17.60,9.10,2.00,19.50,9.10,2.00,2.00,10.00,10.00
"Racecourse",70,"Exhibition Centre",94,25.70,13.40,25.70,28.50,13.40,2.00,2.00,15.00,15.00
"University",71,"Exhibition Centre",94,18.40,9.20,2.00,20.00,9.20,2.00,2.00,10.50,10.50
"Tai Po Market",72,"Exhibition Centre",94,19.90,10.10,2.00,22.00,10.10,2.00,2.00,12.00,12.00
"Tai Wo",73,"Exhibition Centre",94,19.90,10.10,2.00,22.00,10.10,2.00,2.00,12.00,12.00
"Fanling",74,"Exhibition Centre",94,22.20,11.60,2.00,25.50,11.60,2.00,2.00,13.50,13.50
"Sheung Shui",75,"Exhibition Centre",94,22.20,11.60,2.00,25.50,11.60,2.00,2.00,13.50,13.50
"Lo Wu",76,"Exhibition Centre",94,52.20,46.00,52.20,55.50,26.20,26.20,26.20,27.50,27.50
"Lok Ma Chau",78,"Exhibition Centre",94,52.20,46.00,52.20,55.50,26.20,26.20,26.20,27.50,27.50
"East Tsim Sha Tsui",80,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Che Kung Temple",96,"Exhibition Centre",94,17.20,8.70,2.00,19.00,8.70,2.00,2.00,10.00,10.00
"Sha Tin Wai",97,"Exhibition Centre",94,17.20,8.70,2.00,19.00,8.70,2.00,2.00,10.00,10.00
"City One",98,"Exhibition Centre",94,17.20,8.70,2.00,19.00,8.70,2.00,2.00,10.00,10.00
"Shek Mun",99,"Exhibition Centre",94,17.20,8.70,2.00,19.00,8.70,2.00,2.00,10.00,10.00
"Tai Shui Hang",100,"Exhibition Centre",94,20.80,10.40,2.00,22.00,10.40,2.00,2.00,12.50,12.50
"Heng On",101,"Exhibition Centre",94,20.80,10.40,2.00,22.00,10.40,2.00,2.00,12.50,12.50
"Ma On Shan",102,"Exhibition Centre",94,20.80,10.40,2.00,22.00,10.40,2.00,2.00,12.50,12.50
"Wu Kai Sha",103,"Exhibition Centre",94,20.80,10.40,2.00,22.00,10.40,2.00,2.00,12.50,12.50
"Austin",111,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Tsuen Wan West",114,"Exhibition Centre",94,17.80,9.10,2.00,19.50,9.10,2.00,2.00,10.00,10.00
"Kam Sheung Road",115,"Exhibition Centre",94,28.00,14.30,2.00,30.00,14.30,2.00,2.00,15.50,15.50
"Yuen Long",116,"Exhibition Centre",94,29.30,15.20,2.00,31.00,15.20,2.00,2.00,16.50,16.50
"Long Ping",117,"Exhibition Centre",94,29.30,15.20,2.00,31.00,15.20,2.00,2.00,16.50,16.50
"Tin Shui Wai",118,"Exhibition Centre",94,29.30,15.20,2.00,31.00,15.20,2.00,2.00,16.50,16.50
"Siu Hong",119,"Exhibition Centre",94,29.30,15.20,2.00,31.00,15.20,2.00,2.00,16.50,16.50
"Tuen Mun",120,"Exhibition Centre",94,29.30,15.20,2.00,31.00,15.20,2.00,2.00,16.50,16.50
"Sai Ying Pun",81,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"HKU",82,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"Kennedy Town",83,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"Ho Man Tin",84,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Whampoa",85,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Ocean Park",86,"Exhibition Centre",94,5.90,3.20,2.00,6.00,3.20,2.00,2.00,3.50,3.50
"Wong Chuk Hang",87,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"Lei Tung",88,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"South Horizons",89,"Exhibition Centre",94,7.40,3.70,2.00,7.50,3.70,2.00,2.00,4.00,4.00
"Hin Keng",90,"Exhibition Centre",94,17.10,8.60,2.00,19.00,8.60,2.00,2.00,9.50,9.50
"Kai Tak",91,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Sung Wong Toi",92,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"To Kwa Wan",93,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Exhibition Centre",94,"Exhibition Centre",94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
